gemeente_code,year,gemeente_name,province,area_km2,centroid_lat,centroid_lon,population,population_density_km2,accident_count,fatal_count,serious_injury_count,weather_mean_temp_mean_c,weather_mean_temp_min_c,weather_mean_temp_max_c,weather_mean_humidity_pct,weather_mean_pressure_hpa,weather_annual_precip_mm,weather_annual_sunshine_hours,km_cycleway,km_track,km_lane,km_total,bicycle_parking_count
GM0050,2016,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2017,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2018,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2019,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2020,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2021,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,0,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2022,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,17,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2023,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,13,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0050,2024,Zeewolde,Flevoland,252.95,52.345896,5.450961,23899,97.0,13,0,0,,,,,,,,541.564,0.0,13.04,554.604,20
GM0059,2015,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2016,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2017,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2018,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2019,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2020,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2021,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,0,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2022,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,14,1,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2023,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,12,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0059,2024,Achtkarspelen,Fryslân,103.94,53.216716,6.143189,28226,276.0,12,0,0,,,,,,,,79.165,0.0,0.768,79.933,11
GM0060,2015,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2016,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2017,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2018,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2019,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2020,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2021,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,0,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2022,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,5,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2023,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,3,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0060,2024,Ameland,Fryslân,57.97,53.450638,5.750189,3839,68.0,6,0,0,,,,,,,,58.4,0.0,0.253,58.653,18
GM0072,2015,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2016,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2017,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2018,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2019,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2020,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2021,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,0,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2022,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,7,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2023,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,7,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0072,2024,Harlingen,Fryslân,25.89,53.175371,5.451898,16229,650.0,6,0,0,,,,,,,,32.02,0.0,0.0,32.02,14
GM0074,2015,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2016,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2017,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2018,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2019,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2020,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2021,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,0,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2022,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,34,0,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2023,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,27,1,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0074,2024,Heerenveen,Fryslân,198.22,52.996013,5.978014,51787,273.0,27,2,0,,,,,,,,161.183,0.0,1.362,162.545,29
GM0080,2015,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.26,6.64,13.61,83.71,1016.31,835.6,1830.0,273.579,0.0,14.769,288.349,34
GM0080,2016,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.15,6.37,13.74,83.8,1015.41,695.5,1928.5,273.579,0.0,14.769,288.349,34
GM0080,2017,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.31,6.54,13.79,83.74,1015.14,825.9,1745.2,273.579,0.0,14.769,288.349,34
GM0080,2018,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.67,6.68,14.46,80.69,1015.09,609.9,2066.6,273.579,0.0,14.769,288.349,34
GM0080,2019,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.66,6.83,14.28,82.16,1013.62,898.8,1921.6,273.579,0.0,14.769,288.349,34
GM0080,2020,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,10.95,7.02,14.54,81.26,1014.32,861.2,1951.2,273.579,0.0,14.769,288.349,34
GM0080,2021,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,0,0,0,9.92,6.3,13.31,84.7,1015.54,938.8,1741.7,273.579,0.0,14.769,288.349,34
GM0080,2022,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,131,3,0,10.94,6.76,14.7,80.37,1016.4,764.7,2178.2,273.579,0.0,14.769,288.349,34
GM0080,2023,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,163,2,0,11.04,7.24,14.55,82.41,1013.22,1008.1,1901.5,273.579,0.0,14.769,288.349,34
GM0080,2024,Leeuwarden,Fryslân,255.26,53.170006,5.797929,128810,542.0,131,3,0,11.31,7.63,14.74,83.47,1013.69,1068.1,1751.4,273.579,0.0,14.769,288.349,34
GM0085,2015,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2016,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2017,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2018,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2019,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2020,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2021,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,0,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2022,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,8,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2023,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,10,1,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0085,2024,Ooststellingwerf,Fryslân,226.08,52.982382,6.28297,25824,116.0,14,0,0,,,,,,,,322.915,0.0,0.0,322.915,35
GM0086,2015,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2016,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2017,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2018,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2019,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2020,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2021,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,0,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2022,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,9,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2023,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,13,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0086,2024,Opsterland,Fryslân,227.69,53.049163,6.112718,30059,134.0,6,0,0,,,,,,,,176.523,0.0,0.0,176.523,22
GM0088,2015,Schiermonnikoog,Fryslân,42.92,53.491173,6.22734,972,23.0,0,0,0,10.74,8.13,13.36,82.37,,833.7,1809.5,28.158,0.0,2.129,30.287,17
